Composition,Uses
Ciclosporin (100mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Sildenafil (20mg),Treatment of Pulmonary arterial hypertension (PAH)
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Pimecrolimus (1% w/w), Atopic dermatitis
Povidone Iodine (10% w/w),Treatment and prevention of Wound infection
Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Clopidogrel (75mg), Prevention of heart attack and stroke Heart attack Peripheral vascular disease
Beclometasone (0.025% w/w), Skin conditions with inflammation & itchingTreatment of Asthma
Olmesartan Medoxomil (10mg), Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke
Pegfilgrastim (6mg),Prevention of Infections after chemotherapy
Pirfenidone (600mg),Treatment of Idiopathic pulmonary fibrosis
Methylcobalamin (1500mcg) + Pregabalin (150mg),Treatment of Neuropathic pain
Amlodipine (5mg),Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Menotrophin (150IU), Female infertility Male hypogonadism Male infertility
Hydrocortisone (0.25% w/w) + Zinc Oxide (5% w/w) + Lidocaine (3% w/w) + Allantoin (0.5% w/w),Treatment of Anal fissure
Cyproterone (2mg) + Ethinyl Estradiol (0.035mg),Treatment of Polycystic ovarian syndrome (PCOS)
Pancreatin (300mg),Treatment of Pancreatic enzyme deficiency
Desvenlafaxine (50mg), Depression
Pancreatin (170mg),Treatment of Pancreatic enzyme deficiency
Pantoprazole (40mg) + Itopride (150mg), Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
Paracetamol (750mg), Pain reliefTreatment of Fever
Pramipexole (0.52mg), Parkinson's disease Restless leg syndrome
Penfluridol (20mg),Treatment of SchizophreniaTreatment of DepressionTreatment of Bipolar disorder
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Gabapentin (6% w/w) + Lidocaine (5% w/w), Neuropathic pain
Cefpodoxime Proxetil (200mg) + Clavulanic Acid (125mg),Treatment of Respiratory tract infection
Pimecrolimus (1% w/w), Atopic dermatitis
Dabigatran Etexilate (75mg),Treatment and prevention of Blood clots
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Prazosin (1mg),Treatment of Hypertension (high blood pressure)Treatment of Heart failureTreatment of Benign prostatic hyperplasia
Pregabalin (100mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (0.25mg), Prevention of organ rejection in transplant patients
Eplerenone (25mg) + Torasemide (20mg), Edema
Paliperidone (3mg), Schizophrenia Mania
Metoprolol Succinate (47.5mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Menotrophin (75IU), Female infertility Male hypogonadism Male infertility
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Prucalopride (1mg),Treatment of Constipation
Paliperidone (6mg), Schizophrenia Mania
Ciclosporin (50mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Metoprolol Succinate (23.75mg),Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine
Pomalidomide (2mg), Multiple myeloma
Pantoprazole (40mg) + Itopride (150mg), Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
Propafenone (150mg), Arrhythmia
Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Cefalexin (125mg),Treatment of Bacterial infections
Pioglitazone (15mg) + Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Pregabalin (75mg) + Methylcobalamin (750mcg) + Alpha Lipoic Acid (100mg), Neuropathic pain
Pregabalin (75mg) + Methylcobalamin (750mcg) + Alpha Lipoic Acid (100mg), Neuropathic pain
Aspirin (150mg) + Clopidogrel (75mg), Prevention of heart attack and stroke
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Cefpodoxime Proxetil (200mg),Treatment of Bacterial infections
Piroxicam (0.5% w/w), Pain relief
Ambrisentan (10mg), Pulmonary arterial hypertension (PAH)
Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Hydrochlorothiazide (12.5mg) + Olmesartan Medoxomil (20mg), Hypertension (high blood pressure)
Mesalazine (1gm),Treatment of Ulcerative colitis
Dinoprostone (0.5mg), Induction of labour
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Pioglitazone (7.5mg),Treatment of Type 2 diabetes mellitus
Phenylephrine (5mg/5ml) + Chlorpheniramine Maleate (2mg/5ml) + Dextromethorphan Hydrobromide (10mg/5ml),Treatment of Dry cough
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pitavastatin (1mg), High cholesterol Prevention of heart attack and stroke
Olopatadine (0.1% w/v),Treatment of Allergic conditions
Methylprednisolone (16mg),Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Methylprednisolone (8mg),Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
Pirfenidone (200mg),Treatment of Idiopathic pulmonary fibrosis
Clopidogrel (75mg), Prevention of heart attack and stroke Heart attack Peripheral vascular disease
Pregabalin (150mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Tamsulosin  (0.4mg) +  Dutasteride (0.5mg),Treatment of Benign prostatic hyperplasia
Ketoconazole (2% w/w), Fungal skin infections
Paroxetine (20mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pregabalin (150mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Tranexamic Acid (500mg),Treatment of Bleeding
Triamcinolone (0.1% w/w), Skin conditions with inflammation & itchingTreatment of Rheumatoid arthritisTreatment of Osteoarthritis
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Metformin (500mg) + Voglibose (0.3mg),Treatment of Type 2 diabetes mellitus
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Prasugrel (10mg),Prevention of Heart attackPrevention of Stroke
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Sodium Picosulfate (5mg/5ml),Treatment of Constipation
Olmesartan Medoxomil (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pioglitazone (30mg),Treatment of Type 2 diabetes mellitus
Pramipexole (1.05mg), Parkinson's disease Restless leg syndrome
Tranexamic Acid (500mg),Treatment of Bleeding
Gabapentin (450mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Clobetasol (0.05% w/w) + Salicylic Acid (6% w/w) + Lactic Acid (3% w/w) + Urea (10% w/w), Eczema Psoriasis
Amoxycillin  (200mg) +  Clavulanic Acid (28.5mg),Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections
Amlodipine (5mg) + Metoprolol Succinate (50mg),Treatment of Hypertension (high blood pressure)
Methylcobalamin (1500mcg) + Pregabalin (100mg),Treatment of Neuropathic pain
Domperidone (10mg) + Pantoprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Prulifloxacin (600mg), Urinary tract infections (UTIs)
Oxiconazole (1% w/w), Fungal skin infections
Tadalafil IP (20mg),Treatment of Pulmonary arterial hypertension (PAH)
Paracetamol (125mg), Pain reliefTreatment of Fever
Ceftriaxone (1gm),Treatment of Bacterial infections
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Povidone Iodine (5% w/w),Treatment and prevention of Wound infection
Domperidone (10mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Human chorionic gonadotropin (hCG) (7500IU),Treatment of Female infertilityTreatment of Male hypogonadism
Olmesartan Medoxomil (20mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Pregabalin (75mg) + Nortriptyline (10mg) + Methylcobalamin (1500mcg),Treatment of Neuropathic pain
Pirfenidone (200mg),Treatment of Idiopathic pulmonary fibrosis
Povidone Iodine (10% w/w) + Ornidazole (1% w/w), Wound infection
Proanthocyanidin (75mg) + Polypodium leucotomos extract (240mg) + Tranexamic Acid (250mg),Treatment of Varicose veins
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Propranolol (20mg),Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors
Poliomyelitis Virus Type 1 (40D - Antigen units) + Poliomyelitis Virus Type 2 (8D - Antigen units) + Poliomyelitis virus type 3 (32D - Antigen units),Prevention of Polio
Gabapentin (100mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Cefpodoxime Proxetil (200mg) + Clavulanic Acid (125mg),Treatment of Respiratory tract infection
Loteprednol etabonate (0.2% w/v), Redness and swelling in the eye
Ciclosporin (25mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pantoprazole (40mg),Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome
Pidotimod (400mg), Diseases of respiratory tract
Prednisolone (10mg),Treatment of Redness and swelling in the eye
Pioglitazone (30mg),Treatment of Type 2 diabetes mellitus
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Paracetamol (250mg/5ml), Pain reliefTreatment of Fever
Human Normal Immunoglobulin (5gm), Immunoglobulins deficiency
Methylprednisolone (4mg),Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Olmesartan Medoxomil (20mg) + Metoprolol Succinate (50mg), Hypertension (high blood pressure)
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Domperidone (10mg) + Pantoprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paracetamol (650mg), Pain reliefTreatment of Fever
Dexchlorpheniramine (0.5mg/5ml),Treatment of Allergic conditions
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Cyclopentolate (1% w/v), Eye examination Uveitis
Sildenafil (25mg),Treatment of Erectile dysfunction
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Paliperidone (3mg), Schizophrenia Mania
Citicoline (500mg),Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
Pramipexole (1mg), Parkinson's disease Restless leg syndrome
Cefpodoxime Proxetil (200mg),Treatment of Bacterial infections
Clobetasol (0.05% w/v) + Salicylic Acid (6% w/v),Treatment of EczemaTreatment of Psoriasis
Progesterone (200mg), Hormone replacement therapy Female infertility
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Olopatadine (0.2% w/v),Treatment of Allergic conditions
Piracetam (500mg/5ml), Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury
Olmesartan Medoxomil (20mg) + Metoprolol Succinate (25mg), Hypertension (high blood pressure)
Paroxetine (40mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Ciclosporin (25mg), Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome
Citicoline (500mg/5ml),Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease
Domperidone (20mg) + Paracetamol (650mg),Treatment of Migraine
Pregabalin (75mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Domperidone (10mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paroxetine (25mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Pregabalin (75mg) + Methylcobalamin (1500mcg) + Vitamin B6 (Pyridoxine) (20mg) + Folic Acid (5mg), Neuropathic pain
Pregabalin (75mg) + Methylcobalamin (1500mcg) + Vitamin B6 (Pyridoxine) (20mg) + Folic Acid (5mg), Neuropathic pain
Dinoprostone (10mg), Induction of labour
Olopatadine (0.2% w/v),Treatment of Allergic conditions
Amoxycillin  (250mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Posaconazole (40mg), Severe fungal infections
Benfotiamine (7.5mg) + Folic Acid (1mg) + Methylcobalamin (750mcg) + Pregabalin (75mg) + Vitamin B6 (Pyridoxine) (1.5mg),Treatment of Neuropathic pain
Tretinoin (0.025%),Treatment of Acne Acute promyelocytic leukaemia
Benzoyl Peroxide (2.5% w/w),Treatment of Acne
Paracetamol (250mg), Pain reliefTreatment of Fever
Desvenlafaxine (100mg), Depression
Paracetamol (650mg), Pain reliefTreatment of Fever
Isotretinoin (10mg),Treatment of Acne
Progesterone (Natural Micronized) (200mg), Hormone replacement therapyTreatment of Female infertility
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paroxetine (12.5mg),Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder
Clobetasol (0.05% w/w) + Salicylic Acid (3% w/w),Treatment of EczemaTreatment of Psoriasis
Domperidone (30mg) + Pantoprazole (40mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Paracetamol (650mg), Pain reliefTreatment of Fever
Pantoprazole (40mg) + Itopride (150mg), Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease
Sildenafil (20mg),Treatment of Pulmonary arterial hypertension (PAH)
